work_order,priority,workstream,country,issue,date_or_span,title_or_scope,evidence_count,private_record_count,high_priority_print_leads,public_statement_count,source_or_folder,related_export,related_rank_or_id,recommended_action,why_it_matters,first_link,supporting_links
35,Critical,Issue dossier,Venezuela,Regional security and Panama spillover,1989-03-15 to 1992-02-28,Regional security and Panama spillover - Venezuela,32,0,22,9,"1989, Book I; 1989, Book II; 1990, Book I","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",28,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"22 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-010.pdf#page=58; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=45; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=49; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-017.pdf#page=63; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-017.pdf#page=71; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=60; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=64"
36,Critical,Issue dossier,Venezuela,"Debt, trade, and Enterprise for the Americas",1989-03-02 to 1991-06-27,"Debt, trade, and Enterprise for the Americas - Venezuela",36,0,18,9,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",29,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"18 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-010.pdf#page=43; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=33; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=34; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=54; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-014.pdf#page=20; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-003.pdf#page=22; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-003.pdf#page=31; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-004.pdf#page=76"
37,Critical,Issue dossier,Chile,"Debt, trade, and Enterprise for the Americas",1989-02-17 to 1992-12-17,"Debt, trade, and Enterprise for the Americas - Chile",26,0,7,18,"1989, Book I; 1990, Book II; 1991, Book I","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",30,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"7 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=5,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=5; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=6; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=53; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=12; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=46; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=48; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=70; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=71"
38,Critical,Issue dossier,Peru,Summits and multilateral diplomacy,1989-04-27 to 1992-08-28,Summits and multilateral diplomacy - Peru,35,0,8,27,"1989, Book I; 1989, Book II; 1990, Book I","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",31,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"8 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=61,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=61; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-014.pdf#page=38; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf#page=36; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-015.pdf#page=40; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf#page=22; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf#page=82; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf#page=29; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=84"
39,Critical,Issue dossier,Brazil,"Democracy, elections, and transitions",1989-02-09 to 1992-10-23,"Democracy, elections, and transitions - Brazil",25,0,18,7,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",32,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"18 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=71,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=71; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=36; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=37; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf#page=39; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-010.pdf#page=66; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=63; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf#page=64; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-015.pdf#page=47"
40,Critical,Issue dossier,Venezuela,"Democracy, elections, and transitions",1989-02-28 to 1992-04-24,"Democracy, elections, and transitions - Venezuela",33,0,18,14,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",33,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"18 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-005.pdf#page=9,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-005.pdf#page=9; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=41; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=42; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-014.pdf#page=18; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-006.pdf#page=84; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-007.pdf#page=40; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-017.pdf#page=72; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-012.pdf#page=55"
41,Critical,Issue dossier,Brazil,"Debt, trade, and Enterprise for the Americas",1988-11-09 to 1993-01-13,"Debt, trade, and Enterprise for the Americas - Brazil",48,0,14,28,"1989, Book I; 1990, Book I; 1990, Book II","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",34,Use this as a candidate issue trail where no released private memcon/telcon currently anchors the chapter.,"14 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-005.pdf#page=53,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-005.pdf#page=53; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-005.pdf#page=54; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=70; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-006.pdf#page=71; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-004.pdf#page=64; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-012.pdf#page=100; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=129; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=41"
42,Critical,Issue dossier,Bolivia,Regional security and Panama spillover,1989-03-27 to 1992-09-09,Regional security and Panama spillover - Bolivia,18,0,7,10,"1989, Book II; 1990, Book I; 1991, Book I","issue-dossiers.csv; selection-matrix.csv; evidence-timeline.csv",35,Use this issue-country cluster to test top OCR leads against a thin or risky chapter chronology.,"7 high-priority print leads; 0 verified private records; no private anchor",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-002.pdf#page=87,"https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-002.pdf#page=87; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf#page=29; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=106; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-005.pdf#page=94; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=52; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf#page=37; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-012.pdf#page=40; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-010.pdf#page=10"
43,Critical,Source-folder follow-up,"Argentina; Bolivia; Peru; Uruguay",,1989-01-24 to 1989-06-08,"Argentina - January 20, 1989-December 31, 1989 [4]",30,0,16,,"Latin American Affairs Directorate Subject Files - Argentina - January 20, 1989-December 31, 1989 [4]","archival-source-ledger.csv; print-candidates.csv",1,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","Argentina - January 20, 1989-December 31, 1989 [4]; CF00189-008; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766481,"https://catalog.archives.gov/id/470766481; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf; https://catalog.archives.gov/id/376217847"
44,Critical,Source-folder follow-up,"Bolivia; Colombia; Ecuador; Peru",,1989-04-11 to 1989-12-26,"Colombia - January 20, 1989-December 31, 1989 [1]",32,0,15,,"Latin American Affairs Directorate Subject Files - Colombia - January 20, 1989-December 31, 1989 [1]","archival-source-ledger.csv; print-candidates.csv",2,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00195-007; Colombia - January 20, 1989-December 31, 1989 [1]; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766564,"https://catalog.archives.gov/id/470766564; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf; https://catalog.archives.gov/id/376217847"
45,Critical,Source-folder follow-up,"Argentina; Brazil; Peru; Uruguay",,1989-05-11 to 1990-02-02,"Uruguay - January 20, 1989-December 31, 1989",27,0,15,,"Latin American Affairs Directorate Subject Files - Uruguay - January 20, 1989-December 31, 1989","archival-source-ledger.csv; print-candidates.csv",3,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00193-016; Latin American Affairs Directorate Subject Files; Uruguay - January 20, 1989-December 31, 1989",https://catalog.archives.gov/id/470766531,"https://catalog.archives.gov/id/470766531; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf; https://catalog.archives.gov/id/376217847"
46,Critical,Source-folder follow-up,"Brazil; Ecuador; Venezuela",,1989-06-21 to 1989-12-22,"Venezuela - January 20, 1989-December 31, 1989 [1]",31,0,14,,"Latin American Affairs Directorate Subject Files - Venezuela - January 20, 1989-December 31, 1989 [1]","archival-source-ledger.csv; print-candidates.csv",4,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00193-018; Latin American Affairs Directorate Subject Files; Venezuela - January 20, 1989-December 31, 1989 [1]",https://catalog.archives.gov/id/470766533,"https://catalog.archives.gov/id/470766533; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf; https://catalog.archives.gov/id/376217847"
47,Critical,Source-folder follow-up,Chile,,1989-01-23 to 1990-01-06,"Chile - January 20, 1989-December 31, 1989",21,0,13,,"Latin American Affairs Directorate Subject Files - Chile - January 20, 1989-December 31, 1989","archival-source-ledger.csv; print-candidates.csv",5,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00195-005; Chile - January 20, 1989-December 31, 1989; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766562,"https://catalog.archives.gov/id/470766562; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf; https://catalog.archives.gov/id/376217847"
48,Critical,Source-folder follow-up,"Bolivia; Chile; Venezuela",,1989-02-17 to 1989-03-06,"March 1, 1989-March 16, 1989 [4]",15,0,11,,"Latin American Directorate Chronological Files - March 1, 1989-March 16, 1989 [4]","archival-source-ledger.csv; print-candidates.csv",6,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00300-013; Latin American Directorate Chronological Files; March 1, 1989-March 16, 1989 [4]",https://catalog.archives.gov/id/470766414,"https://catalog.archives.gov/id/470766414; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf; https://catalog.archives.gov/id/2197972"
49,Critical,Source-folder follow-up,"Bolivia; Colombia; Peru",,1989-10-25 to 1989-12-07,Andean [Drug] Summit 1989 [1],14,0,11,,Latin American Affairs Directorate Subject Files - Andean [Drug] Summit 1989 [1],"archival-source-ledger.csv; print-candidates.csv",7,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","Andean [Drug] Summit 1989 [1]; CF00189-002; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766475,"https://catalog.archives.gov/id/470766475; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf; https://catalog.archives.gov/id/376217847"
50,Critical,Source-folder follow-up,"Bolivia; Brazil; Colombia; Ecuador",,1989-02-19 to 1989-03-23,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",12,0,10,,"Latin American Affairs Directorate Subject Files - Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]","archival-source-ledger.csv; print-candidates.csv",8,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00194-016; Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766553,"https://catalog.archives.gov/id/470766553; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf; https://catalog.archives.gov/id/376217847"
51,Critical,Source-folder follow-up,"Guyana; Venezuela",,1989-02-27 to 1989-06-19,"Guyana - January 20, 1989-December 31, 1989",11,0,10,,"Latin American Affairs Directorate Subject Files - Guyana - January 20, 1989-December 31, 1989","archival-source-ledger.csv; print-candidates.csv",9,"Start here: verify high-priority OCR leads against page images, then compare with country chronology and gap audit.","CF00196-013; Guyana - January 20, 1989-December 31, 1989; Latin American Affairs Directorate Subject Files",https://catalog.archives.gov/id/470766599,"https://catalog.archives.gov/id/470766599; https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-013.pdf; https://catalog.archives.gov/id/376217847"
