queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"February 10, 1989",Memorandum,Presidential Letter to Argentine President,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,91,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"February 13, 1989",Memorandum,Letter to President Alfonsin of Argentina,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,90,Restricted - Possibly,87,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"February 9, 1989",Memorandum,Letter from President Alfonsin Requesting,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [4]",High,90,Restricted - Possibly,31,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-008, February 1, 1989-March 1, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf,https://catalog.archives.gov/id/470766409
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"February 9, 1989",Memorandum,Letter from President Alfonsin Requesting,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,90,Restricted - Possibly,93,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"January 24, 1989",Memorandum of Conversation,Memorandum of Conversation Between the President,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,107,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"January 26, 1989",Memorandum,Ambassadorial request to meet,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [5]",High,78,Restricted - Possibly,142,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-009, February 1, 1989-March 1, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-009.pdf,https://catalog.archives.gov/id/470766410
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 20, 1989",Memorandum,Your Meeting with New Argentine Foreign Minister,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [3]",High,90,Restricted - Possibly,17,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-006, July 16, 1989-July 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-006.pdf,https://catalog.archives.gov/id/470766443
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 20, 1989",Memorandum,Your Meeting with New Argentine Foreign Minister,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,90,Restricted - Possibly,67,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 21, 1989",Memorandum of Conversation,Memorandum of Conversation with Foreign Minister,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [1]",High,72,Restricted - Possibly,75,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-004, July 16, 1989-July 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf,https://catalog.archives.gov/id/470766441
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 27, 1989",Memorandum of Conversation,Memorandum of Conversation with Foreign Minister,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [1]",High,72,Restricted - Possibly,74,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-004, July 16, 1989-July 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf,https://catalog.archives.gov/id/470766441
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 27, 1989",Memorandum of Conversation,Memorandum of Conversation with Foreign Minister,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,17,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 3, 1989",Memorandum,Argentine President-elect Carlos Menem,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [2]",High,72,Restricted - Possibly,76,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-002, July 1, 1989-July 15, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-002.pdf,https://catalog.archives.gov/id/470766439
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 3, 1989",Memorandum,Argentine President-elect Carlos Menem,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [3]",High,72,Restricted - Possibly,24,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-003, July 1, 1989-July 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf,https://catalog.archives.gov/id/470766440
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 3, 1989",Memorandum,Argentine President-elect Carlos Menem,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,12,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 5, 1989",Memorandum,Letter from President Bush to Argentine President,Latin American Directorate Chronological Files,"July 1, 1989-July 15, 1989 [3]",High,90,Restricted - Possibly,21,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-003, July 1, 1989-July 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-003.pdf,https://catalog.archives.gov/id/470766440
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 5, 1989",Memorandum,Letter from President Bush to Argentine President,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,90,Restricted - Possibly,11,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"July 6, 1989",Memorandum,Letter from You to Argentine President Menem,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,10,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 16, 1989",Memorandum,Reply to Letter from G. Evan Bybee Expressing,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [3]",High,72,Restricted - Possibly,31,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-018, June 1, 1989-June 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-018.pdf,https://catalog.archives.gov/id/470766435
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 16, 1989",Memorandum,Reply to Letter from G. Evan Bybee Expressing,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,76,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 22, 1989",Memorandum,Second PCC meeting on economic and political,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,34,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 27, 1989",Memorandum,Attendance at Argentine Inauguration,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [1]",High,90,Restricted - Possibly,80,"memorandum form; Presidential or NSC principals; presidential diplomacy, panama spillover; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-016, June 1, 1989-June 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-016.pdf,https://catalog.archives.gov/id/470766433
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 28, 1989",Memorandum,PCC Follow-up meeting on Argentina,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [3]",High,72,Restricted - Possibly,47,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-007, Argentina - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-007.pdf,https://catalog.archives.gov/id/470766480
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 6, 1989",Memorandum,Request for Meeting between the President and,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [5]",High,72,Restricted - Possibly,23,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-020, June 1, 1989-June 30, 1989 [5]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-020.pdf,https://catalog.archives.gov/id/470766437
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 7, 1989",Memorandum,Request for Meeting with you by Outgoing,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [4]",High,72,Restricted - Possibly,38,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-019, June 1, 1989-June 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-019.pdf,https://catalog.archives.gov/id/470766436
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 7, 1989",Memorandum,Request for Meeting with you by Outgoing,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,8,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 8, 1989",Memorandum,Proposed Meeting Between the President and,Latin American Directorate Chronological Files,"June 1, 1989-June 30, 1989 [4]",High,72,Restricted - Possibly,36,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-019, June 1, 1989-June 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-019.pdf,https://catalog.archives.gov/id/470766436
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"June 8, 1989",Memorandum,Proposed Meeting Between the President and,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,6,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"May 14, 1989",Memorandum,Letter to President Alfonsin of Argentina,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [4]",High,90,Restricted - Possibly,29,"memorandum form; Presidential or NSC principals; democracy, debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-008, February 1, 1989-March 1, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-008.pdf,https://catalog.archives.gov/id/470766409
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"May 16, 1989",Memorandum of Conversation,Memorandum of Conversation: President’s Telephone,Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [3]",High,72,Restricted - Possibly,50,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"May 16, 1989",Memorandum of Conversation,Memorandum of Conversation: President’s Telephone,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,14,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
4274,High-priority print candidate,Monitor,Argentina,26,31,87,"May 2, 1989",Memorandum,PCC Meeting on Managing Issues and Relations:,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]",High,72,Restricted - Possibly,29,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481
